scenario,trust_bin,income_bin,adoption_rate,std_dev,ci_lower,ci_upper,n_replications,n_samples
NI,0.025,2.5,0.15660155371027318,0.05560664429988019,0.1455679890866396,0.16763511833390676,100,500
NI,0.025,7.5,0.14522908636626192,0.05396322217666406,0.1345216123461653,0.15593656038635853,100,500
NI,0.025,12.5,0.14787947755571795,0.05291185658947801,0.13738061727765408,0.15837833783378183,100,500
NI,0.025,17.5,0.15101706725679026,0.04316212927435542,0.14245276439985174,0.15958137011372878,100,500
NI,0.025,22.5,0.15614479291521663,0.054157825322152776,0.14539870540911046,0.1668908804213228,100,500
NI,0.025,27.5,0.14906642917367713,0.04668767414703421,0.13980258172677124,0.15833027662058302,100,500
NI,0.025,32.5,0.14235101859404703,0.0513868588505796,0.13215475095243662,0.15254728623565744,100,500
NI,0.025,37.5,0.13715790576275208,0.04770553861144138,0.12769209192338468,0.14662371960211948,100,500
NI,0.025,42.5,0.15437085388827299,0.049231724408029844,0.14460221167603132,0.16413949610051465,100,500
NI,0.025,47.5,0.15891969493058652,0.04869496228941863,0.14925755796781248,0.16858183189336057,100,500
NI,0.025,52.5,0.15853966211653994,0.05279853497060966,0.14806328730618917,0.1690160369268907,100,500
NI,0.025,57.5,0.15904055492372174,0.051488314623465994,0.14882415625567239,0.1692569535917711,100,500
NI,0.025,62.5,0.1531696268458907,0.04620209355359541,0.1440021291234673,0.1623371245683141,100,500
NI,0.025,67.5,0.15553214411647992,0.056088337092958115,0.14440300119230184,0.166661287040658,100,500
NI,0.025,72.5,0.1389954496780319,0.04803513457418974,0.12946423684902109,0.14852666250704272,100,500
NI,0.025,77.5,0.16011358105687148,0.04643397520708637,0.15090007298368802,0.16932708913005495,100,500
NI,0.025,82.5,0.1556379769330278,0.053552416000135335,0.14501201577085648,0.16626393809519913,100,500
NI,0.025,87.5,0.15174106915731936,0.05165345670894133,0.14149190271672923,0.16199023559790948,100,500
NI,0.025,92.5,0.14221660952247547,0.05059817446038308,0.13217683397450689,0.15225638507044406,100,500
NI,0.025,97.5,0.15316456380816515,0.05279766967059494,0.1426883606921101,0.1636407669242202,100,500
NI,0.075,2.5,0.16489944970179088,0.052119727876880795,0.15455776494565823,0.17524113445792353,100,500
NI,0.075,7.5,0.16420691314345492,0.05356188668205054,0.15357907279252375,0.1748347534943861,100,500
NI,0.075,12.5,0.1613449523239181,0.04800379330398988,0.15181995828286854,0.17086994636496766,100,500
NI,0.075,17.5,0.16699806341853418,0.050014070172950995,0.15707418683342278,0.17692194000364558,100,500
NI,0.075,22.5,0.16340640397370962,0.05646343055023228,0.1522028343698992,0.17460997357752003,100,500
NI,0.075,27.5,0.1637006032709315,0.05332328444103112,0.1531201067811302,0.1742810997607328,100,500
NI,0.075,32.5,0.1628593684744787,0.04914960297273168,0.15310702093663714,0.17261171601232028,100,500
NI,0.075,37.5,0.1624931347452756,0.050158674831443574,0.15254056545869937,0.17244570403185183,100,500
NI,0.075,42.5,0.16305472244977867,0.04643082892448374,0.15384183866732265,0.1722676062322347,100,500
NI,0.075,47.5,0.1649283643262759,0.05376826551206024,0.15425957393805093,0.17559715471450085,100,500
NI,0.075,52.5,0.16573534412277768,0.04943095629461726,0.15592716998187126,0.1755435182636841,100,500
NI,0.075,57.5,0.159842555292497,0.047762450095339595,0.15036544898002097,0.16931966160497303,100,500
NI,0.075,62.5,0.1552505411860672,0.04844575839459851,0.14563785168254156,0.16486323068959285,100,500
NI,0.075,67.5,0.1621006335549929,0.05050182972009441,0.15207997489371128,0.17212129221627454,100,500
NI,0.075,72.5,0.16891927693701242,0.046642677092960896,0.15966435788185254,0.1781741959921723,100,500
NI,0.075,77.5,0.15865800275671918,0.05253771462610223,0.1482333803612554,0.16908262515218295,100,500
NI,0.075,82.5,0.16097310259972658,0.05220036010918774,0.15061541865937578,0.17133078654007738,100,500
NI,0.075,87.5,0.1627090261675299,0.049598081079426926,0.1528676908435198,0.17255036149154002,100,500
NI,0.075,92.5,0.1603852616162619,0.054375517768605275,0.14959597920590909,0.17117454402661472,100,500
NI,0.075,97.5,0.16111948014404276,0.04239330865166306,0.1527077279783258,0.16953123230975972,100,500
NI,0.125,2.5,0.16417542221285522,0.04819392700607512,0.15461270152033257,0.17373814290537787,100,500
NI,0.125,7.5,0.163717666936201,0.05249962728688877,0.15330060189514774,0.17413473197725424,100,500
NI,0.125,12.5,0.17463558813043686,0.047389133761210386,0.16523255587780625,0.18403862038306748,100,500
NI,0.125,17.5,0.1721179080950363,0.044550757446702456,0.16327807128220642,0.18095774490786617,100,500
NI,0.125,22.5,0.17516056623868959,0.05349257521665987,0.16454647878621462,0.18577465369116455,100,500
NI,0.125,27.5,0.16274005452636164,0.046668088990554094,0.15348009319940434,0.17200001585331895,100,500
NI,0.125,32.5,0.16609113622942417,0.05405603849224175,0.155365245438653,0.17681702702019536,100,500
NI,0.125,37.5,0.16904289709228495,0.0459025269808162,0.15993483987704293,0.17815095430752698,100,500
